List of state variables:,VARIABLE NAME,SYMBOL,,,
SV1,STRESS_1,:math:`\sigma_{11}`,,Number of stress components:,6
SV2,STRESS_2,:math:`\sigma_{22}`,,Number of failure surfaces:,1
SV3,STRESS_3,:math:`\sigma_{33}`,,Number of hardening parameters:,0
SV4,STRESS_4,:math:`\sigma_{23}`,,Number of user output variables:,27
SV5,STRESS_5,:math:`\sigma_{13}`,,Number of reserved variables:,10
SV6,STRESS_6,:math:`\sigma_{12}`,,Total number of state variables:,37
SV7,E_TOTAL_1,:math:`\varepsilon_{11}`,,,
SV8,E_TOTAL_2,:math:`\varepsilon_{22}`,,,
SV9,E_TOTAL_3,:math:`\varepsilon_{33}`,,,
SV10,E_TOTAL_4,:math:`\varepsilon_{23}`,,,
SV11,E_TOTAL_5,:math:`\varepsilon_{13}`,,,
SV12,E_TOTAL_6,:math:`\varepsilon_{12}`,,,
SV13,E_PL_1,:math:`\varepsilon_{11}^{p}` or :math:`\varepsilon_{11}^{vp}`,,,
SV14,E_PL_2,:math:`\varepsilon_{22}^{p}` or :math:`\varepsilon_{22}^{vp}`,,,
SV15,E_PL_3,:math:`\varepsilon_{33}^{p}` or :math:`\varepsilon_{33}^{vp}`,,,
SV16,E_PL_4,:math:`\gamma_{23}^{p}` or :math:`\gamma_{23}^{vp}`,,,
SV17,E_PL_5,:math:`\gamma_{13}^{p}` or :math:`\gamma_{13}^{vp}`,,,
SV18,E_PL_6,:math:`\gamma_{12}^{p}` or :math:`\gamma_{12}^{vp}`,,,
SV19,NA,-,,,
SV20,FSURF_1,":math:`F(\sigma_{ij},q,c,\eta^{vp})`",,,
SV21,LAMDA_1,:math:`\dot{\lambda}`,,,
SV22,D_E_PL_1,:math:`\Delta{\varepsilon}_{11}^{p}` or :math:`\Delta{\varepsilon}_{11}^{vp}`,,,
SV23,D_E_PL_2,:math:`\Delta{\varepsilon}_{22}^{p}` or :math:`\Delta{\varepsilon}_{22}^{vp}`,,,
SV24,D_E_PL_3,:math:`\Delta{\varepsilon}_{33}^{p}` or :math:`\Delta{\varepsilon}_{33}^{vp}`,,,
SV25,D_E_PL_4,:math:`\Delta{\varepsilon}_{23}^{p}` or :math:`\Delta{\varepsilon}_{23}^{vp}`,,,
SV26,D_E_PL_5,:math:`\Delta{\varepsilon}_{13}^{p}` or :math:`\Delta{\varepsilon}_{13}^{vp}`,,,
SV27,D_E_PL_6,:math:`\Delta{\varepsilon}_{12}^{p}` or :math:`\Delta{\varepsilon}_{12}^{vp}`,,,
SV28,RESERVED_1,USER VARIABLE 1,,,
SV29,RESERVED_2,USER VARIABLE 2,,,
SV30,RESERVED_3,USER VARIABLE 3,,,
SV31,RESERVED_4,USER VARIABLE 4,,,
SV32,RESERVED_5,USER VARIABLE 5,,,
SV33,RESERVED_6,USER VARIABLE 6,,,
SV34,RESERVED_7,USER VARIABLE 7,,,
SV35,RESERVED_8,USER VARIABLE 8,,,
SV36,RESERVED_9,USER VARIABLE 9,,,
SV37,RESERVED_10,USER VARIABLE 10,,,
End of list,,,,,
